IFNOISE  = 1
IFSCINT  = 0
IFCOSRAY = 0
VARSEE   = 2
IFVAR    = 0
IFGRAY   = 1
RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0119 -0.49167 1.12539 1.00000 1.00000 1.00000 0.03000 1.30000 2.14690 1.03327
0120 -0.48056 1.31462 1.00000 1.00000 1.00000 0.03000 1.30000 2.35673 1.04278
0121 -0.46944 1.39672 1.00000 1.00000 1.00000 0.03000 1.30000 2.44397 1.01051
0122 -0.45833 1.02605 1.00000 1.00000 1.00000 0.03000 1.30000 2.03110 1.00945
0123 -0.44722 1.75184 1.00000 1.00000 1.00000 0.03000 1.30000 2.79980 1.00055
0124 -0.43056 1.09437 1.00000 1.00000 1.00000 0.03000 1.30000 2.11120 1.01942
0125 -0.26806 1.17377 1.00000 1.00000 1.00000 0.03000 1.30000 2.20181 1.03716
0126 -0.25694 1.09248 1.00000 1.00000 1.00000 0.03000 1.30000 2.10901 1.01630
0127 -0.24583 1.43189 1.00000 1.00000 1.00000 0.03000 1.30000 2.48071 1.00491
0128 -0.23472 2.60862 1.00000 1.00000 1.00000 0.03000 1.30000 3.55531 1.00360
0129 -0.22361 1.13815 1.00000 1.00000 1.00000 0.03000 1.30000 2.16147 1.02957
0130 -0.21250 1.25855 1.00000 1.00000 1.00000 0.03000 1.30000 2.29589 1.03897
0131 -0.20139 1.32349 1.00000 1.00000 1.00000 0.03000 1.30000 2.36626 1.02221
0132 -0.19028 1.02106 1.00000 1.00000 1.00000 0.03000 1.30000 2.02517 1.04616
0133 -0.17917 1.87661 1.00000 1.00000 1.00000 0.03000 1.30000 2.91780 1.04119
0134 -0.16250 1.12416 1.00000 1.00000 1.00000 0.03000 1.30000 2.14549 1.04053
0135 -0.00000 1.17089 1.00000 1.00000 1.00000 0.03000 1.30000 2.19856 1.04966
0136  0.01111 1.07288 1.00000 1.00000 1.00000 0.03000 1.30000 2.08622 1.02833
0137  0.02222 1.51635 1.00000 1.00000 1.00000 0.03000 1.30000 2.56749 1.02540
0138  0.03333 2.29604 1.00000 1.00000 1.00000 0.03000 1.30000 3.29320 1.00350
0139  0.04444 1.15664 1.00000 1.00000 1.00000 0.03000 1.30000 2.18247 1.04090
0140  0.05556 1.21211 1.00000 1.00000 1.00000 0.03000 1.30000 2.24468 1.00000
0141  0.06667 1.26139 1.00000 1.00000 1.00000 0.03000 1.30000 2.29900 1.02795
0142  0.07778 1.02020 1.00000 1.00000 1.00000 0.03000 1.30000 2.02414 1.00152
0143  0.08889 2.03292 1.00000 1.00000 1.00000 0.03000 1.30000 3.06128 1.02772
0144  0.10556 1.16029 1.00000 1.00000 1.00000 0.03000 1.30000 2.18660 1.03789
0145  0.26806 1.17377 1.00000 1.00000 1.00000 0.03000 1.30000 2.20181 1.02204
0146  0.27917 1.05834 1.00000 1.00000 1.00000 0.03000 1.30000 2.06921 1.02387
0147  0.29028 1.61549 1.00000 1.00000 1.00000 0.03000 1.30000 2.66693 1.03874
0148  0.30139 2.05893 1.00000 1.00000 1.00000 0.03000 1.30000 3.08472 1.04634
0149  0.31250 1.18133 1.00000 1.00000 1.00000 0.03000 1.30000 2.21030 1.00496
0150  0.32361 1.17391 1.00000 1.00000 1.00000 0.03000 1.30000 2.20197 1.02252
0151  0.33472 1.20864 1.00000 1.00000 1.00000 0.03000 1.30000 2.24083 1.02030
0152  0.34583 1.02345 1.00000 1.00000 1.00000 0.03000 1.30000 2.02801 1.01172
0153  0.35694 2.23149 1.00000 1.00000 1.00000 0.03000 1.30000 3.23733 1.03318
0154  0.37361 1.20365 1.00000 1.00000 1.00000 0.03000 1.30000 2.23528 1.03399
0155  0.53611 1.18248 1.00000 1.00000 1.00000 0.03000 1.30000 2.21159 1.04967
0156  0.54722 1.04854 1.00000 1.00000 1.00000 0.03000 1.30000 2.05769 1.01060
0157  0.55833 1.73260 1.00000 1.00000 1.00000 0.03000 1.30000 2.78130 1.04606
0158  0.56944 1.87430 1.00000 1.00000 1.00000 0.03000 1.30000 2.91564 1.03734
0159  0.58056 1.21284 1.00000 1.00000 1.00000 0.03000 1.30000 2.24550 1.00385
0160  0.59167 1.14290 1.00000 1.00000 1.00000 0.03000 1.30000 2.16688 1.01321
0161  0.60278 1.16388 1.00000 1.00000 1.00000 0.03000 1.30000 2.19066 1.01452
0162  0.61389 1.03087 1.00000 1.00000 1.00000 0.03000 1.30000 2.03682 1.04515
0163  0.62500 2.48883 1.00000 1.00000 1.00000 0.03000 1.30000 3.45643 1.00994
0164  0.64167 1.25541 1.00000 1.00000 1.00000 0.03000 1.30000 2.29245 1.01607
0165  0.80417 1.19723 1.00000 1.00000 1.00000 0.03000 1.30000 2.22811 1.00251
0166  0.81528 1.04328 1.00000 1.00000 1.00000 0.03000 1.30000 2.05149 1.03642
0167  0.82639 1.87206 1.00000 1.00000 1.00000 0.03000 1.30000 2.91355 1.00464
0168  0.83750 1.72769 1.00000 1.00000 1.00000 0.03000 1.30000 2.77658 1.03213
0169  0.84861 1.25204 1.00000 1.00000 1.00000 0.03000 1.30000 2.28876 1.04337
0170  0.85972 1.11828 1.00000 1.00000 1.00000 0.03000 1.30000 2.13876 1.02937
0171  0.87083 1.12602 1.00000 1.00000 1.00000 0.03000 1.30000 2.14762 1.02109
0172  0.88194 1.04261 1.00000 1.00000 1.00000 0.03000 1.30000 2.05071 1.01222
0173  0.89306 2.83155 1.00000 1.00000 1.00000 0.03000 1.30000 3.73460 1.01255
0174  0.90972 1.31704 1.00000 1.00000 1.00000 0.03000 1.30000 2.35933 1.00692
0175  1.07222 1.21842 1.00000 1.00000 1.00000 0.03000 1.30000 2.25168 1.00103
0176  1.08333 1.04244 1.00000 1.00000 1.00000 0.03000 1.30000 2.05051 1.01920
