RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0069 -1.98889 1.38546 1.00000 1.00000 1.00000 0.03000 1.30000 1.21606 1.00000
0070 -1.97222 1.02005 1.00000 1.00000 1.00000 0.03000 1.30000 1.01198 1.00000
0071 -1.80972 1.31526 1.00000 1.00000 1.00000 0.03000 1.30000 1.17871 1.02000
0072 -1.79861 1.33602 1.00000 1.00000 1.00000 0.03000 1.30000 1.18984 1.02000
0073 -1.78750 1.13333 1.00000 1.00000 1.00000 0.03000 1.30000 1.07799 1.00000
0074 -1.77639 1.13815 1.00000 1.00000 1.00000 0.03000 1.30000 1.08073 1.02000
0075 -1.76528 1.79788 1.00000 1.00000 1.00000 0.03000 1.30000 1.42186 1.02000
0076 -1.75417 2.00358 1.00000 1.00000 1.00000 0.03000 1.30000 1.51735 1.02000
0077 -1.74306 1.11298 1.00000 1.00000 1.00000 0.03000 1.30000 1.06633 1.02000
0078 -1.73194 1.41799 1.00000 1.00000 1.00000 0.03000 1.30000 1.23312 1.00000
0079 -1.71528 1.02235 1.00000 1.00000 1.00000 0.03000 1.30000 1.01335 1.00000
0080 -1.55278 1.27439 1.00000 1.00000 1.00000 0.03000 1.30000 1.15659 1.02000
0081 -1.54167 1.27541 1.00000 1.00000 1.00000 0.03000 1.30000 1.15715 1.02000
0082 -1.53056 1.16669 1.00000 1.00000 1.00000 0.03000 1.30000 1.09692 1.00000
0083 -1.51944 1.12581 1.00000 1.00000 1.00000 0.03000 1.30000 1.07369 1.02000
0084 -1.50833 1.66100 1.00000 1.00000 1.00000 0.03000 1.30000 1.35588 1.02000
0085 -1.49722 1.83359 1.00000 1.00000 1.00000 0.03000 1.30000 1.43874 1.02000
0086 -1.48611 1.08629 1.00000 1.00000 1.00000 0.03000 1.30000 1.05091 1.02000
0087 -1.47500 1.45968 1.00000 1.00000 1.00000 0.03000 1.30000 1.25474 1.00000
0088 -1.45833 1.02846 1.00000 1.00000 1.00000 0.03000 1.30000 1.01698 1.00000
0089 -1.29583 1.24140 1.00000 1.00000 1.00000 0.03000 1.30000 1.13854 1.02000
0090 -1.28472 1.22442 1.00000 1.00000 1.00000 0.03000 1.30000 1.12917 1.02000
0091 -1.27361 1.20548 1.00000 1.00000 1.00000 0.03000 1.30000 1.11865 1.00000
0092 -1.26250 1.11847 1.00000 1.00000 1.00000 0.03000 1.30000 1.06949 1.02000
0093 -1.25139 1.54892 1.00000 1.00000 1.00000 0.03000 1.30000 1.30022 1.02000
0094 -1.24028 1.69374 1.00000 1.00000 1.00000 0.03000 1.30000 1.37185 1.02000
0095 -1.22917 1.06463 1.00000 1.00000 1.00000 0.03000 1.30000 1.03829 1.02000
0096 -1.21806 1.51182 1.00000 1.00000 1.00000 0.03000 1.30000 1.28144 1.00000
0097 -1.20139 1.03849 1.00000 1.00000 1.00000 0.03000 1.30000 1.02292 1.00000
0098 -1.03889 1.21541 1.00000 1.00000 1.00000 0.03000 1.30000 1.12418 1.02000
0099 -1.02778 1.18162 1.00000 1.00000 1.00000 0.03000 1.30000 1.10532 1.02000
0100 -1.01667 1.25041 1.00000 1.00000 1.00000 0.03000 1.30000 1.14349 1.00000
0101 -1.00556 1.11597 1.00000 1.00000 1.00000 0.03000 1.30000 1.06805 1.02000
0102 -0.99444 1.45625 1.00000 1.00000 1.00000 0.03000 1.30000 1.25297 1.02000
0103 -0.98333 1.57732 1.00000 1.00000 1.00000 0.03000 1.30000 1.31448 1.02000
0104 -0.97222 1.04758 1.00000 1.00000 1.00000 0.03000 1.30000 1.02828 1.02000
0105 -0.96111 1.57616 1.00000 1.00000 1.00000 0.03000 1.30000 1.31390 1.00000
0106 -0.94444 1.05263 1.00000 1.00000 1.00000 0.03000 1.30000 1.03125 1.00000
0107 -0.78194 1.19577 1.00000 1.00000 1.00000 0.03000 1.30000 1.11324 1.02000
0108 -0.77083 1.14591 1.00000 1.00000 1.00000 0.03000 1.30000 1.08515 1.02000
0109 -0.75972 1.30235 1.00000 1.00000 1.00000 0.03000 1.30000 1.17175 1.00000
0110 -0.74861 1.11826 1.00000 1.00000 1.00000 0.03000 1.30000 1.06937 1.00000
0111 -0.73750 1.37910 1.00000 1.00000 1.00000 0.03000 1.30000 1.21271 1.02000
0112 -0.72639 1.47951 1.00000 1.00000 1.00000 0.03000 1.30000 1.26494 1.02000
0113 -0.71528 1.03479 1.00000 1.00000 1.00000 0.03000 1.30000 1.02073 1.02000
0114 -0.70417 1.65509 1.00000 1.00000 1.00000 0.03000 1.30000 1.35299 1.00000
0115 -0.68750 1.07113 1.00000 1.00000 1.00000 0.03000 1.30000 1.04209 1.00000
0116 -0.52500 1.18200 1.00000 1.00000 1.00000 0.03000 1.30000 1.10553 1.02000
0117 -0.51389 1.11641 1.00000 1.00000 1.00000 0.03000 1.30000 1.06830 1.02000
0118 -0.50278 1.36239 1.00000 1.00000 1.00000 0.03000 1.30000 1.20387 1.00000
0119 -0.49167 1.12539 1.00000 1.00000 1.00000 0.03000 1.30000 1.07345 1.00000
0120 -0.48056 1.31462 1.00000 1.00000 1.00000 0.03000 1.30000 1.17837 1.02000
0121 -0.46944 1.39672 1.00000 1.00000 1.00000 0.03000 1.30000 1.22199 1.02000
0122 -0.45833 1.02605 1.00000 1.00000 1.00000 0.03000 1.30000 1.01555 1.02000
0123 -0.44722 1.75184 1.00000 1.00000 1.00000 0.03000 1.30000 1.39990 1.00000
0124 -0.43056 1.09437 1.00000 1.00000 1.00000 0.03000 1.30000 1.05560 1.00000
0125 -0.26806 1.17377 1.00000 1.00000 1.00000 0.03000 1.30000 1.10090 1.02000
0126 -0.25694 1.09248 1.00000 1.00000 1.00000 0.03000 1.30000 1.05450 1.02000
0127 -0.24583 1.43189 1.00000 1.00000 1.00000 0.03000 1.30000 1.24035 1.00000
0128 -0.23472 2.60862 1.00000 1.00000 1.00000 0.03000 1.30000 1.77765 1.02000
0129 -0.22361 1.13815 1.00000 1.00000 1.00000 0.03000 1.30000 1.08073 1.00000
0130 -0.21250 1.25855 1.00000 1.00000 1.00000 0.03000 1.30000 1.14795 1.02000
0131 -0.20139 1.32349 1.00000 1.00000 1.00000 0.03000 1.30000 1.18313 1.02000
0132 -0.19028 1.02106 1.00000 1.00000 1.00000 0.03000 1.30000 1.01258 1.02000
0133 -0.17917 1.87661 1.00000 1.00000 1.00000 0.03000 1.30000 1.45890 1.00000
0134 -0.16250 1.12416 1.00000 1.00000 1.00000 0.03000 1.30000 1.07274 1.00000
0135 -0.00000 1.17089 1.00000 1.00000 1.00000 0.03000 1.30000 1.09928 1.02000
0136  0.01111 1.07288 1.00000 1.00000 1.00000 0.03000 1.30000 1.04311 1.02000
0137  0.02222 1.51635 1.00000 1.00000 1.00000 0.03000 1.30000 1.28375 1.00000
0138  0.03333 2.29604 1.00000 1.00000 1.00000 0.03000 1.30000 1.64660 1.02000
0139  0.04444 1.15664 1.00000 1.00000 1.00000 0.03000 1.30000 1.09124 1.00000
0140  0.05556 1.21211 1.00000 1.00000 1.00000 0.03000 1.30000 1.12234 1.02000
0141  0.06667 1.26139 1.00000 1.00000 1.00000 0.03000 1.30000 1.14950 1.02000
0142  0.07778 1.02020 1.00000 1.00000 1.00000 0.03000 1.30000 1.01207 1.00000
0143  0.08889 2.03292 1.00000 1.00000 1.00000 0.03000 1.30000 1.53064 1.00000
0144  0.10556 1.16029 1.00000 1.00000 1.00000 0.03000 1.30000 1.09330 1.00000
0145  0.26806 1.17377 1.00000 1.00000 1.00000 0.03000 1.30000 1.10090 1.00000
0146  0.27917 1.05834 1.00000 1.00000 1.00000 0.03000 1.30000 1.03461 1.02000
0147  0.29028 1.61549 1.00000 1.00000 1.00000 0.03000 1.30000 1.33347 1.00000
0148  0.30139 2.05893 1.00000 1.00000 1.00000 0.03000 1.30000 1.54236 1.02000
0149  0.31250 1.18133 1.00000 1.00000 1.00000 0.03000 1.30000 1.10515 1.00000
0150  0.32361 1.17391 1.00000 1.00000 1.00000 0.03000 1.30000 1.10098 1.02000
0151  0.33472 1.20864 1.00000 1.00000 1.00000 0.03000 1.30000 1.12041 1.02000
0152  0.34583 1.02345 1.00000 1.00000 1.00000 0.03000 1.30000 1.01400 1.00000
0153  0.35694 2.23149 1.00000 1.00000 1.00000 0.03000 1.30000 1.61867 1.00000
0154  0.37361 1.20365 1.00000 1.00000 1.00000 0.03000 1.30000 1.11764 1.00000
0155  0.53611 1.18248 1.00000 1.00000 1.00000 0.03000 1.30000 1.10580 1.00000
0156  0.54722 1.04854 1.00000 1.00000 1.00000 0.03000 1.30000 1.02885 1.02000
0157  0.55833 1.73260 1.00000 1.00000 1.00000 0.03000 1.30000 1.39065 1.00000
0158  0.56944 1.87430 1.00000 1.00000 1.00000 0.03000 1.30000 1.45782 1.02000
0159  0.58056 1.21284 1.00000 1.00000 1.00000 0.03000 1.30000 1.12275 1.00000
0160  0.59167 1.14290 1.00000 1.00000 1.00000 0.03000 1.30000 1.08344 1.02000
0161  0.60278 1.16388 1.00000 1.00000 1.00000 0.03000 1.30000 1.09533 1.02000
