RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0170  0.85972 1.11828 1.00000 1.00000 1.00000 0.03807 1.30000 1.06938 
0171  0.87083 1.12602 1.00000 1.00000 1.00000 0.03804 1.30000 1.07381 
0172  0.88194 1.04261 1.00000 1.00000 1.00000 0.03802 1.30000 1.02535 
0173  0.89306 2.83155 1.00000 1.00000 1.00000 0.03800 1.30000 1.86730 
0174  0.90972 1.31704 1.00000 1.00000 1.00000 0.03797 1.30000 1.17967 
0175  1.07222 1.21842 1.00000 1.00000 1.00000 0.03765 1.30000 1.12584 
0176  1.08333 1.04244 1.00000 1.00000 1.00000 0.03763 1.30000 1.02525 
0177  1.09444 2.03983 1.00000 1.00000 1.00000 0.03761 1.30000 1.53376 
0178  1.10556 1.60958 1.00000 1.00000 1.00000 0.03759 1.30000 1.33054 
0179  1.11667 1.30007 1.00000 1.00000 1.00000 0.03756 1.30000 1.17052 
0180  1.12778 1.09945 1.00000 1.00000 1.00000 0.03754 1.30000 1.05853 
0181  1.13889 1.09422 1.00000 1.00000 1.00000 0.03752 1.30000 1.05551 
0182  1.15000 1.05890 1.00000 1.00000 1.00000 0.03750 1.30000 1.03494 
0183  1.16111 1.38554 1.00000 1.00000 1.00000 0.03748 1.30000 1.21611 
0184  1.32361 1.24462 1.00000 1.00000 1.00000 0.03718 1.30000 1.14031 
0185  1.33472 1.04567 1.00000 1.00000 1.00000 0.03716 1.30000 1.02716 
0186  1.34583 2.23023 1.00000 1.00000 1.00000 0.03714 1.30000 1.61812 
0187  1.35694 1.51891 1.00000 1.00000 1.00000 0.03712 1.30000 1.28505 
0188  1.36806 1.35447 1.00000 1.00000 1.00000 0.03710 1.30000 1.19967 
0189  1.37917 1.08665 1.00000 1.00000 1.00000 0.03708 1.30000 1.05112 
0190  1.39028 1.06931 1.00000 1.00000 1.00000 0.03706 1.30000 1.04103 
0191  1.40139 1.07862 1.00000 1.00000 1.00000 0.03704 1.30000 1.04645 
0192  1.41250 1.46656 1.00000 1.00000 1.00000 0.03702 1.30000 1.25829 
0193  1.57500 1.27760 1.00000 1.00000 1.00000 0.03675 1.30000 1.15834 
0194  1.58611 1.05284 1.00000 1.00000 1.00000 0.03673 1.30000 1.03137 
